dst_port,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,bwd_urg_flags,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_header_len,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,init_bwd_win_byts,active_mean,active_std,active_min,idle_mean,idle_std,idle_max,idle_min
443,14154.195785522461,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,8548.701871410043,141.3008573786784,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,70.6504286893392,70.6504286893392,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8883,342530.9658050537,2,1,139,85,85.0,54.0,69.5,15.5,85.0,85.0,85.0,0.0,653.9554737001098,8.758332237055042,171265.48290252686,124586.46297454834,295851.9458770752,46679.019927978516,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5.838888158036695,2.9194440790183473,54,85,74.66666666666667,14.613540144521982,213.55555555555557,1,0,0,0,0,0,0,0.5,74.66666666666667,69.5,85.0,40,0.0,0.0,0.0,0.0,0.0,0.0,2,139,1,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,36050.08125305176,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,3356.4418107866804,55.47837703779637,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,27.739188518898185,27.739188518898185,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,50080.060958862305,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,2416.1312443168563,39.936053625072006,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,19.968026812536003,19.968026812536003,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,21203.994750976562,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,5706.471889898354,94.3218494198075,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,47.16092470990375,47.16092470990375,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,34223.079681396484,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,3535.6256984018614,58.44009418846052,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,29.22004709423026,29.22004709423026,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,23056.983947753906,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,5247.867642801009,86.7416139305952,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,43.3708069652976,43.3708069652976,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,0.0,1,0,55,0,55.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,55,55,55.0,0.0,0.0,1,0,0,0,0,0,0,0.0,55.0,55.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,17838.001251220703,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,6783.271191424524,112.12018498222353,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,56.06009249111177,56.06009249111177,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,41854.143142700195,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,2890.9921674290367,47.784994502959286,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,23.892497251479643,23.892497251479643,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
